Name,Age,Gender,Department,City,Attendance,StudyHours,Marks
Joel,21.0,Male,AI,Pune,,4.0,
Kyle,22.0,Male,AI,Bangalore,,8.0,90.0
Tara,19.0,Male,IT,Mumbai,95.0,6.0,70.0
Daniel,20.0,Male,DS,Indore,80.0,3.0,70.0
Lisa,18.0,Female,DS,Bangalore,70.0,7.0,45.0
Angela,22.0,Female,CSE,Indore,,7.0,70.0
Alexandria,21.0,Female,CSE,Pune,60.0,3.0,
Jacqueline,,Female,IT,Delhi,80.0,4.0,
Michael,21.0,Male,IT,Pune,60.0,2.0,70.0
Jesus,19.0,Female,AI,Delhi,65.0,5.0,90.0
Kathryn,19.0,Female,CSE,Pune,75.0,1.0,45.0
Stephanie,18.0,Female,CSE,Mumbai,70.0,2.0,85.0
Christopher,18.0,Female,CSE,Indore,60.0,,85.0
David,,Male,DS,Indore,60.0,8.0,90.0
Jason,21.0,Male,DS,Mumbai,60.0,8.0,85.0
Heather,19.0,Male,CSE,Bangalore,95.0,6.0,55.0
Julie,22.0,Female,IT,Bangalore,85.0,4.0,50.0
Nicole,21.0,Male,DS,Indore,,1.0,45.0
Danielle,22.0,Female,CSE,Bangalore,95.0,7.0,80.0
Charles,,Female,DS,Bangalore,55.0,5.0,75.0
April,19.0,Male,AI,Mumbai,80.0,3.0,95.0
Alicia,19.0,Male,DS,Bangalore,65.0,6.0,95.0
Monique,21.0,Female,IT,Mumbai,85.0,,65.0
Jane,19.0,Female,IT,Pune,75.0,1.0,65.0
Edward,,Male,DS,Pune,,6.0,95.0
Nancy,,Female,AI,Indore,80.0,1.0,50.0
Katherine,19.0,Female,IT,Bangalore,95.0,7.0,55.0
Kyle,,Male,DS,Bangalore,90.0,7.0,75.0
Michael,18.0,Male,AI,Indore,55.0,4.0,70.0
John,19.0,Male,DS,Indore,,4.0,95.0
Joseph,,Male,IT,Delhi,75.0,4.0,45.0
Lisa,18.0,Female,CSE,Delhi,80.0,3.0,90.0
Heather,18.0,Female,AI,Bangalore,65.0,2.0,45.0
Nicole,22.0,Male,DS,Bangalore,80.0,3.0,95.0
Daniel,19.0,Male,IT,Pune,75.0,4.0,95.0
Samuel,,Male,AI,Indore,85.0,1.0,80.0
Virginia,20.0,Male,DS,Mumbai,,8.0,55.0
Richard,20.0,Male,IT,Delhi,55.0,2.0,
Anthony,21.0,Male,DS,Pune,95.0,6.0,80.0
Gregory,18.0,Female,DS,Pune,95.0,2.0,85.0
Mary,20.0,Male,IT,Indore,95.0,7.0,85.0
Sabrina,18.0,Male,DS,Indore,95.0,6.0,85.0
David,20.0,Male,IT,Pune,60.0,3.0,45.0
Marie,20.0,Female,DS,Bangalore,75.0,1.0,90.0
Samantha,22.0,Male,AI,Delhi,80.0,6.0,60.0
Todd,,Female,IT,Mumbai,80.0,4.0,50.0
Isaac,19.0,Female,IT,Mumbai,55.0,7.0,95.0
Jeffrey,21.0,Male,AI,Indore,95.0,7.0,75.0
Nicholas,,Female,AI,Mumbai,55.0,,80.0
Christian,20.0,Male,IT,Delhi,60.0,,60.0
Evelyn,,Male,AI,Mumbai,65.0,7.0,65.0
Kimberly,22.0,Male,IT,Bangalore,80.0,2.0,90.0
Michael,21.0,Female,IT,Pune,95.0,3.0,95.0
Gary,18.0,Male,DS,Bangalore,55.0,2.0,70.0
Jeanne,20.0,Female,IT,Indore,90.0,2.0,50.0
Kathleen,20.0,Male,DS,Pune,85.0,3.0,75.0
Joshua,19.0,Male,CSE,Pune,,7.0,
Tiffany,,Female,IT,Delhi,,2.0,70.0
Michele,21.0,Female,AI,Pune,75.0,8.0,50.0
Richard,20.0,Male,AI,Pune,90.0,2.0,50.0
Sheila,19.0,Female,IT,Indore,95.0,2.0,70.0
Suzanne,22.0,Female,AI,Bangalore,60.0,6.0,60.0
Latasha,21.0,Male,IT,Indore,80.0,5.0,45.0
Tony,18.0,Male,DS,Indore,60.0,8.0,50.0
Martha,22.0,Male,DS,Indore,85.0,8.0,75.0
Brian,20.0,Male,CSE,Delhi,85.0,6.0,70.0
Mary,,Female,AI,Mumbai,,,55.0
Lawrence,,Male,AI,Indore,55.0,1.0,70.0
Matthew,22.0,Male,IT,Mumbai,80.0,7.0,50.0
Wendy,21.0,Male,CSE,Indore,90.0,,45.0
Mark,20.0,Female,CSE,Pune,95.0,5.0,85.0
Andrea,19.0,Female,IT,Indore,,1.0,60.0
Sherry,20.0,Male,CSE,Mumbai,85.0,,70.0
Anna,,Male,IT,Delhi,65.0,1.0,50.0
Thomas,19.0,Female,DS,Pune,60.0,8.0,65.0
Erin,18.0,Female,CSE,Delhi,90.0,1.0,80.0
Jeffrey,18.0,Male,AI,Indore,60.0,,
Caitlin,19.0,Female,DS,Delhi,70.0,7.0,55.0
Louis,19.0,Female,IT,Bangalore,75.0,1.0,
Sandra,21.0,Female,CSE,Mumbai,85.0,1.0,80.0
Donna,18.0,Male,DS,Mumbai,,2.0,85.0
Sara,22.0,Female,CSE,Delhi,55.0,2.0,85.0
Jonathan,21.0,Male,IT,Delhi,,3.0,85.0
John,18.0,Female,IT,Delhi,60.0,8.0,45.0
James,19.0,Male,CSE,Bangalore,,3.0,55.0
Jessica,21.0,Female,IT,Indore,80.0,6.0,95.0
Robert,19.0,Female,IT,Delhi,55.0,1.0,95.0
Vernon,,Male,IT,Bangalore,55.0,6.0,90.0
Ryan,22.0,Female,DS,Pune,85.0,,95.0
Chelsea,,Female,CSE,Bangalore,85.0,,45.0
Brandon,19.0,Male,DS,Delhi,75.0,2.0,65.0
Jessica,22.0,Female,AI,Delhi,90.0,3.0,85.0
Sheila,22.0,Female,DS,Bangalore,75.0,2.0,55.0
Michael,22.0,Male,IT,Delhi,,6.0,65.0
Angela,19.0,Male,AI,Indore,65.0,,
David,,Male,CSE,Delhi,90.0,7.0,50.0
Alexander,21.0,Female,DS,Indore,90.0,1.0,55.0
Timothy,,Male,AI,Bangalore,75.0,3.0,70.0
Kyle,19.0,Male,IT,Pune,85.0,,50.0
Samuel,21.0,Male,IT,Mumbai,85.0,6.0,45.0
Erica,18.0,Female,CSE,Pune,60.0,6.0,70.0
Breanna,20.0,Male,AI,Bangalore,80.0,7.0,70.0
Anthony,,Male,DS,Pune,55.0,2.0,90.0
George,21.0,Female,CSE,Indore,,2.0,
Jesse,,Female,IT,Indore,70.0,,70.0
Jesse,18.0,Male,IT,Delhi,75.0,6.0,85.0
David,22.0,Female,DS,Bangalore,75.0,5.0,80.0
Patricia,19.0,Male,IT,Bangalore,70.0,3.0,65.0
Tony,20.0,Female,CSE,Delhi,,,60.0
Nicholas,,Male,DS,Delhi,90.0,6.0,90.0
Kelly,20.0,Female,AI,Indore,65.0,3.0,90.0
Philip,21.0,Male,CSE,Pune,95.0,1.0,55.0
Nicole,19.0,Male,CSE,Indore,70.0,2.0,
Timothy,18.0,Female,CSE,Mumbai,80.0,6.0,95.0
Sonya,18.0,Male,IT,Bangalore,90.0,4.0,
Alison,20.0,Male,IT,Delhi,,1.0,70.0
Valerie,19.0,Male,DS,Pune,60.0,6.0,90.0
Patricia,22.0,Female,DS,Indore,65.0,5.0,80.0
Mary,22.0,Male,CSE,Indore,80.0,2.0,85.0
Lisa,22.0,Male,IT,Bangalore,80.0,2.0,45.0
Nicole,18.0,Male,CSE,Delhi,65.0,7.0,55.0
Timothy,,Female,AI,Mumbai,95.0,4.0,65.0
Brandi,,Female,DS,Bangalore,55.0,4.0,80.0
Aaron,19.0,Male,CSE,Delhi,60.0,6.0,80.0
Kelly,18.0,Female,IT,Bangalore,90.0,7.0,65.0
Erika,18.0,Female,DS,Pune,55.0,6.0,
April,20.0,Male,DS,Pune,60.0,1.0,60.0
William,20.0,Male,DS,Indore,85.0,,70.0
Robert,19.0,Male,CSE,Mumbai,65.0,6.0,80.0
Lisa,18.0,Female,DS,Indore,95.0,6.0,45.0
Scott,20.0,Female,CSE,Delhi,75.0,2.0,60.0
Mary,19.0,Female,IT,Indore,90.0,3.0,95.0
Rodney,21.0,Male,DS,Pune,,6.0,55.0
Timothy,20.0,Female,AI,Indore,90.0,3.0,55.0
Jesse,19.0,Female,IT,Delhi,90.0,7.0,50.0
Patrick,20.0,Female,AI,Pune,65.0,3.0,45.0
Lori,21.0,Male,DS,Indore,85.0,8.0,
Nicole,22.0,Female,CSE,Pune,85.0,1.0,70.0
Edgar,21.0,Female,AI,Pune,55.0,2.0,95.0
Tara,20.0,Male,IT,Delhi,60.0,6.0,60.0
Laurie,22.0,Male,CSE,Mumbai,60.0,6.0,60.0
Nicole,18.0,Female,IT,Pune,60.0,8.0,55.0
Jennifer,22.0,Male,CSE,Bangalore,95.0,3.0,95.0
Dominic,18.0,Female,CSE,Bangalore,60.0,1.0,85.0
Chelsea,,Male,AI,Delhi,80.0,1.0,45.0
Cynthia,20.0,Male,IT,Mumbai,90.0,2.0,
Michael,21.0,Female,IT,Indore,70.0,2.0,
James,22.0,Male,DS,Bangalore,90.0,6.0,65.0
Joshua,20.0,Female,CSE,Delhi,70.0,6.0,60.0
Michelle,21.0,Male,CSE,Pune,65.0,5.0,55.0
James,20.0,Female,AI,Delhi,90.0,8.0,60.0
Joshua,18.0,Male,DS,Pune,,7.0,95.0
Ellen,21.0,Male,AI,Pune,70.0,3.0,80.0
Douglas,19.0,Male,IT,Delhi,80.0,5.0,80.0
Natasha,22.0,Male,IT,Mumbai,70.0,2.0,45.0
Nicole,22.0,Female,DS,Pune,55.0,6.0,65.0
Amber,,Male,CSE,Mumbai,95.0,2.0,
Jeffrey,19.0,Female,AI,Bangalore,60.0,2.0,60.0
Bethany,22.0,Female,IT,Delhi,55.0,6.0,95.0
Alejandro,21.0,Female,CSE,Delhi,75.0,5.0,50.0
Morgan,20.0,Male,DS,Pune,85.0,1.0,75.0
Barbara,18.0,Female,AI,Pune,,7.0,80.0
Dennis,19.0,Male,AI,Mumbai,80.0,6.0,50.0
Julian,19.0,Male,DS,Bangalore,80.0,8.0,45.0
Mary,19.0,Male,AI,Pune,80.0,6.0,75.0
Vickie,18.0,Female,CSE,Mumbai,75.0,5.0,60.0
Edward,,Male,DS,Pune,,6.0,95.0
Alexandria,21.0,Female,CSE,Pune,60.0,3.0,
Joel,21.0,Male,AI,Pune,,4.0,
Matthew,22.0,Male,IT,Mumbai,80.0,7.0,50.0
James,20.0,Female,AI,Delhi,90.0,8.0,60.0
